stream_name,depth
StreamingLineBuffer_3_out0_stream_prepad_14,36
StreamingLineBuffer_3_out0_stream_prepad_15,26
StreamingLineBuffer_3_out0_stream_prepad_16,26
StreamingLineBuffer_3_out0_stream_prepad_17,20
StreamingLineBuffer_3_out0_stream_prepad_18,26
StreamingLineBuffer_3_out0_stream_prepad_19,27
StreamingLineBuffer_3_out0_stream_prepad_20,27
StreamingLineBuffer_3_out0_stream_prepad_21,27
StreamingLineBuffer_3_out0_stream_prepad_22,27
StreamingLineBuffer_3_out0_stream_prepad_23,28
StreamingLineBuffer_3_out0_stream_prepad_24,28
StreamingLineBuffer_3_out0_stream_prepad_25,28
StreamingLineBuffer_3_out0_stream_prepad_26,28
StreamingLineBuffer_3_buffer_stream_0,17
StreamingLineBuffer_3_buffer_stream_1,17
StreamingLineBuffer_3_buffer_stream_2,17
StreamingLineBuffer_3_buffer_stream_3,17
StreamingLineBuffer_3_buffer_stream_4,17
StreamingLineBuffer_3_buffer_stream_5,113
StreamingLineBuffer_3_buffer_stream_6,113
StreamingLineBuffer_3_buffer_stream_7,113
StreamingLineBuffer_3_buffer_stream_8,97
StreamingLineBuffer_3_buffer_stream_9,17
StreamingLineBuffer_3_buffer_stream_10,17
StreamingLineBuffer_3_buffer_stream_11,17
StreamingLineBuffer_3_buffer_stream_12,17
StreamingLineBuffer_3_buffer_stream_13,17
StreamingLineBuffer_3_buffer_stream_14,113
StreamingLineBuffer_3_buffer_stream_15,113
StreamingLineBuffer_3_buffer_stream_16,113
StreamingLineBuffer_3_buffer_stream_17,97
StreamingLineBuffer_3_buffer_stream_18,17
StreamingLineBuffer_3_buffer_stream_19,17
StreamingLineBuffer_3_buffer_stream_20,17
StreamingLineBuffer_3_buffer_stream_21,17
StreamingLineBuffer_3_buffer_stream_22,17
StreamingLineBuffer_4_out0_stream_0,46
StreamingLineBuffer_4_out0_stream_1,46
StreamingLineBuffer_4_out0_stream_2,46
StreamingLineBuffer_4_out0_stream_3,46
StreamingLineBuffer_4_out0_stream_4,43
StreamingLineBuffer_4_out0_stream_5,43
StreamingLineBuffer_4_out0_stream_6,43
StreamingLineBuffer_4_buffer_stream_0,17
StreamingLineBuffer_4_buffer_stream_1,17
StreamingLineBuffer_4_buffer_stream_2,17
StreamingMemory_10_out0_stream_0,2
StreamingMemory_10_out0_stream_1,2
StreamingMemory_10_out0_stream_2,2
StreamingMemory_10_out0_stream_3,2
StreamingMemory_10_out0_stream_4,2
StreamingMemory_10_out0_stream_5,2
StreamingMemory_10_out0_stream_6,2
StreamingMemory_10_out0_stream_7,2
StreamingMemory_10_out0_stream_8,2
StreamingMemory_10_out1_stream_0,2
StreamingConv_3_out0_stream_0,2
StreamingConv_3_out0_stream_1,2
StreamingConv_3_out0_stream_2,2
StreamingConv_3_out0_stream_3,2
StreamingConv_4_out0_stream_0,178
StreamingConv_4_out0_stream_1,178
StreamingConv_4_out0_stream_2,178
StreamingConv_4_out0_stream_3,178
StreamingMemory_11_out0_stream_0,2
StreamingMemory_11_out1_stream_0,2
StreamingLineBuffer_5_out0_stream_0,39
StreamingLineBuffer_5_out0_stream_1,39
StreamingLineBuffer_5_out0_stream_2,39
StreamingLineBuffer_5_out0_stream_3,39
StreamingLineBuffer_5_out0_stream_4,39
StreamingLineBuffer_5_out0_stream_5,39
StreamingLineBuffer_5_out0_stream_6,39
StreamingLineBuffer_5_out0_stream_7,39
StreamingLineBuffer_5_out0_stream_8,39
StreamingLineBuffer_5_out0_stream_9,39
StreamingLineBuffer_5_out0_stream_10,39
StreamingLineBuffer_5_out0_stream_11,39
StreamingLineBuffer_5_out0_stream_12,39
StreamingLineBuffer_5_out0_stream_13,39
StreamingLineBuffer_5_out0_stream_14,39
StreamingLineBuffer_5_out0_stream_15,39
StreamingLineBuffer_5_out0_stream_16,39
StreamingLineBuffer_5_out0_stream_17,39
StreamingLineBuffer_5_out0_stream_prepad_0,35
StreamingLineBuffer_5_out0_stream_prepad_1,19
StreamingLineBuffer_5_out0_stream_prepad_2,134
